年度,チーム,,投　手,登板,勝利,敗北,セ｜ブ,ホ｜ル,ＨＰ,完投,完封勝,無四球,勝率,打者,投球回,,安打,本塁打,四球,故意四,死球,三振,暴投,ボ｜ク,失点,自責点,防御率
2005,福岡ソフトバンクホークス,,佐藤　誠,27,2,0,1,4,6,0,0,0,1,116,26,,32,1,9,0,2,13,2,0,10,10,3.46
2005,福岡ソフトバンクホークス,*,篠原　貴行,1,0,0,0,1,1,0,0,0,0,1,0,0.1,0,0,0,0,0,1,0,0,0,0,0
2005,福岡ソフトバンクホークス,*,杉内　俊哉,26,18,4,0,0,0,8,2,2,0.818,765,196,0.2,150,14,43,1,0,218,0,0,51,46,2.11
2005,福岡ソフトバンクホークス,,高橋　秀聡,4,1,0,0,0,0,0,0,0,1,71,14,0.1,15,1,10,0,4,14,0,0,7,7,4.4
2005,福岡ソフトバンクホークス,,竹岡　和宏,16,1,2,0,1,2,0,0,0,0.333,97,23,0.1,22,1,9,0,2,12,1,0,10,6,2.31
2005,福岡ソフトバンクホークス,,田之上　慶三郎,9,3,3,0,0,0,0,0,0,0.5,203,48,,51,6,13,0,0,27,1,0,24,22,4.13
2005,福岡ソフトバンクホークス,,寺原　隼人,2,0,0,0,0,0,0,0,0,0,19,4,,6,1,1,0,0,2,0,0,4,4,9
2005,福岡ソフトバンクホークス,*,フェリシアーノ,37,3,2,0,11,14,0,0,0,0.6,157,37,,30,5,13,2,6,36,0,0,17,16,3.89
2005,福岡ソフトバンクホークス,,星野　順治,19,8,5,0,0,0,2,2,0,0.615,402,96,0.1,101,11,16,0,4,64,0,0,46,46,4.3
2005,福岡ソフトバンクホークス,,松本　輝,9,0,0,0,0,0,0,0,0,0,49,11,0.2,15,0,3,0,0,7,0,0,5,5,3.86
2005,福岡ソフトバンクホークス,,馬原　孝浩,42,6,6,22,2,6,1,0,0,0.5,332,76,,70,4,33,3,4,68,3,0,31,26,3.08
2005,福岡ソフトバンクホークス,*,三瀬　幸司,54,2,2,18,11,13,0,0,0,0.5,191,45,0.2,30,8,20,1,7,45,0,0,24,24,4.73
2005,福岡ソフトバンクホークス,,山田　秋親,4,0,0,0,0,0,0,0,0,0,28,5,0.1,5,0,5,0,1,5,2,0,4,1,1.69
2005,福岡ソフトバンクホークス,,山村　路直,1,0,0,0,0,0,0,0,0,0,4,1,,1,0,0,0,0,0,0,0,0,0,0
2005,福岡ソフトバンクホークス,,吉武　真太郎,61,2,4,1,32,34,0,0,0,0.333,285,66,0.1,70,2,19,4,3,49,0,0,24,23,3.12
2005,福岡ソフトバンクホークス,*,和田　毅,25,12,8,0,0,0,4,0,1,0.6,741,181,0.2,154,17,57,8,2,167,4,0,69,66,3.27
2005,千葉ロッテマリーンズ,,小野　晋吾,24,10,4,0,2,5,2,0,0,0.714,452,112,,106,9,18,0,5,55,1,0,39,35,2.81
2005,千葉ロッテマリーンズ,*,加藤　康介,9,2,3,0,0,0,0,0,0,0.4,166,40,0.2,31,5,16,1,1,30,1,0,17,17,3.76
2005,千葉ロッテマリーンズ,*,川井　貴志,11,0,0,0,1,1,0,0,0,0,65,13,0.1,23,3,4,0,1,3,0,0,12,12,8.1
